Depth,qc,fs,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
4.42,1.039,0.021,1.039,0.021,0.577,119.40155327328186,145.35841268051706,222.66926238627923,139.6566019858006,152.85967181734853,97.3603337991289,235.97340154928068,2.78202846224484,218.0
4.43,1.065,0.021,1.065,0.021,0.599,120.05886676080613,146.15862040445964,224.94157340582285,140.0663309096376,152.4529213685677,97.7688718432628,236.15154625197303,2.766643127288378,218.0
4.44,1.073,0.022,1.073,0.022,0.629,120.81428687545072,147.0782622831574,226.00368419078336,141.26821778571826,155.32932949478618,98.31453538627795,237.73276048629685,2.770749663757524,218.0
4.45,1.099,0.023,1.099,0.023,0.637,121.81334071446894,148.2945017393535,228.02815407363676,142.61696023581757,157.9673443318068,99.08068128509646,239.2890578694117,2.767608162629536,218.0
4.46,1.124,0.0215,1.124,0.0215,0.666,121.82615158329706,148.310097579666,230.2501774408561,141.5218465803847,153.05664539114127,98.9089644000653,237.3745449268651,2.737515153589674,218.0
4.47,1.158,0.02,1.158,0.02,0.684,121.8992751363122,148.39911755724967,232.90843915607968,140.4357676150597,148.01791953385774,98.80134042228303,235.3384569286995,2.70375226065523,218.0
4.48,1.184,0.022,1.184,0.022,0.662,123.23041825462325,150.01963961432395,234.43693963318177,142.76653547439304,153.84990206815536,99.96704129119554,238.4464406829428,2.7157817682369987,218.0
4.49,1.251,0.024,1.251,0.024,0.67,125.31087528737837,152.5523699150693,239.0834716801932,145.53859689483016,158.91178471975246,101.55583737370814,241.39331853357257,2.70508119246371,218.0
4.5,1.285,0.028,1.285,0.028,0.656,127.43766912933567,155.1415102444087,241.17982992573465,149.51324965983136,169.6442482662112,103.32539371869036,246.4670963270505,2.728179593982834,303.0
4.51,1.37,0.03,1.37,0.03,0.706,129.77907675501243,157.99191952784122,247.29071651139495,152.27010970092817,173.7761636098383,104.94644397786404,248.94529108850332,2.705197737578997,303.0
4.52,1.421,0.035,1.421,0.035,0.725,132.3725946226939,161.14924562762738,250.733584148623,156.7865301970445,185.6935444504854,106.92456763255456,254.19547854773407,2.721389017957091,303.0
4.53,1.549,0.04,1.549,0.04,0.796,136.12150828257728,165.71314051792018,259.2548349081267,161.846473192776,195.7348929109497,109.53464539399762,258.95647810411856,2.70153362003737,303.0
4.54,1.617,0.042,1.617,0.042,0.781,137.7123323577205,167.6497959137467,263.0372962477463,163.84494596760516,199.44259594498465,110.72948603154867,260.8325264900585,2.691463376791528,303.0
4.55,1.752,0.045,1.752,0.045,0.7225,140.33996867729894,170.84865752019005,269.93827492559416,166.97735230755998,204.5377436392192,112.72767260817712,263.4853165192755,2.668175118056315,303.0
4.56,1.888,0.048,1.888,0.048,0.664,142.8640392850013,173.9214391295668,276.6245911289629,169.9819428221586,209.4492623536185,114.62975350670725,265.99999972854226,2.6462573151592874,303.0
4.57,1.973,0.053,1.973,0.053,0.64,145.23718579378166,176.81048705329945,280.82890600591344,173.6588682118105,218.76114921207025,116.38251127966846,269.68597246606964,2.648666024127074,303.0
