Depth,qc,fs_corrected,u
7.16,1.429,0.049,-0.022
7.17,1.531,0.051,-0.021
7.18,1.811,0.06,-0.02
7.19,2.074,0.064,-0.02
7.2,2.269,0.072,-0.02
7.21,2.397,0.078,-0.02
7.22,2.482,0.079,-0.022
7.23,2.49,0.082,-0.022
7.24,2.507,0.084,-0.022
7.25,2.516,0.085,-0.022
7.26,2.516,0.085,-0.023
7.27,2.507,0.088,-0.023
7.28,2.516,0.093,-0.023
7.29,2.533,0.096,-0.023
7.3,2.745,0.102,-0.021
7.31,3.008,0.107,-0.019
7.32,3.237,0.113,-0.02
7.33,3.348,0.116,-0.022
7.34,3.45,0.115,-0.023
7.35,3.526,0.114,-0.024
7.36,3.636,0.115,-0.023
7.37,3.696,0.114,-0.023
7.38,3.849,0.114,-0.023
7.39,3.993,0.113,-0.024
7.4,4.137,0.111,-0.025
7.41,4.188,0.108,-0.027
7.42,4.205,0.106,-0.03
7.43,4.112,0.108,-0.033
7.44,3.925,0.108,-0.034
7.45,3.764,0.087,-0.037
7.46,3.687,0.075,-0.038
7.47,3.653,0.075,-0.039
7.48,3.636,0.076,-0.04
7.49,3.653,0.079,-0.04
7.5,3.645,0.0767,-0.04
7.51,3.704,0.0743,-0.041
7.52,3.857,0.072,-0.042
7.53,3.976,0.064,-0.043
7.54,4.129,0.059,-0.044
7.55,4.231,0.053,-0.045
7.56,4.299,0.049,-0.046
7.57,4.299,0.048,-0.047
7.58,4.171,0.048,-0.048
7.59,3.908,0.051,-0.049
7.6,3.509,0.051,-0.049
7.61,3.051,0.048,-0.05
7.62,2.669,0.041,-0.05
7.63,2.32,0.034,-0.043
7.64,2.244,0.03,-0.045
7.65,2.074,0.026,-0.045
7.66,2.015,0.025,-0.045
7.67,1.879,0.023,-0.044
7.68,1.837,0.021,-0.0407
7.69,1.794,0.02,-0.0373
7.7,1.752,0.02,-0.034
7.71,1.607,0.02,-0.033
7.72,1.446,0.02,-0.034
7.73,1.336,0.02,-0.034
