File Name,Start Depth,End Depth,Depth,Measured Vs,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SDMT_92546.csv,11.0,11.5,11.25,159.0,7.824987828569552,0.08917192369420426,230.36201908199945,280.44071888243377,507.28702071828206,224.9122802446798,238.6309515607463,190.329099743207,366.0874883863544,2.199083241556031
SDMT_92546.csv,11.5,12.0,11.75,223.0,5.249726319441687,0.07356161450734795,215.52617578910366,262.37969226499513,437.3146862201477,205.1133395578856,222.88516545678573,179.0027000011612,359.9299192252237,2.4164498572205053
SDMT_92546.csv,12.0,12.5,12.25,196.0,9.50941037054659,0.12579755875131132,249.34207191477765,303.54687015712074,551.0998443918417,244.18299819879192,275.82446363447366,206.24759436007074,391.7431599210163,2.1790944946399353
SDMT_92546.csv,12.5,13.0,12.75,189.0,11.360357626757953,0.1634760010013875,265.86231615793076,323.658471844437,592.0463777995169,261.3891187156742,307.97592815204797,218.6692367867103,409.97994441049417,2.1533921440332455
SDMT_92546.csv,13.0,13.5,13.25,190.0,7.811532940537153,0.09535446105563053,240.35837045390676,292.6101901177994,515.0109958910865,226.27435918746838,242.0603087106744,200.25364451971473,384.90447476556744,2.2560194856107088
SDMT_92546.csv,13.5,14.0,13.75,193.0,2.0205814752236044,0.04094658533557478,181.83898909190282,221.36920411188137,308.03136437585033,161.79874946790457,180.61969300058888,155.24516104722827,344.63005089268194,2.972944774372432
SDMT_92546.csv,14.0,14.5,14.25,205.0,6.746812816171478,0.04667150579299605,221.35526444498547,269.47597410693896,490.6985014279191,201.4066107894381,184.1640466441476,188.5607500223547,356.89690624954596,2.173622571812653
SDMT_92546.csv,14.5,15.0,14.75,277.0,16.75104015464028,0.13929748614363974,275.22927643007944,335.0617278279221,696.8885763268707,272.14447521827265,280.8486083616172,237.63182134064036,417.82282075690637,1.8527986372518275
SDMT_92546.csv,15.0,15.5,15.25,300.0,16.02887942148266,0.11429751653953006,270.24286639760254,328.9913156144728,687.5973709046042,262.53929570151325,257.1143248574515,234.44714466363698,410.53211663537604,1.8424140475550077
SDMT_92546.csv,15.5,16.0,15.75,279.0,14.841833565269331,0.10138331362492976,266.74020356479883,324.72720433975473,669.8292259002908,254.85382144636733,244.23539329841157,231.6369504050204,407.26480870323525,1.8695360537290593
SDMT_92546.csv,16.0,16.5,16.25,323.0,18.486639506527332,0.10866920466954152,274.1580415072138,333.75761574791267,730.7029213499088,267.7292279609155,251.2280897870997,242.5590742968214,414.89299313241406,1.7443845822462034
SDMT_92546.csv,16.5,17.0,16.75,371.0,14.995670067292892,0.09968561373615176,270.31502073986104,329.07915568330884,676.5754767779422,254.9227884627383,242.12910601782764,235.65626717258482,412.7841272807704,1.872856886331749
SDMT_92546.csv,17.0,17.5,17.25,357.0,15.616787511815701,0.08908852007266128,268.61386629534826,327.00818505520664,689.14970631189,253.29871475673315,231.61577268994031,236.7654752141821,409.9596396495765,1.8202363273416076
SDMT_92546.csv,17.5,18.0,17.75,387.0,19.234010857811395,0.11770602624627072,283.6274197435585,345.2855544704188,748.3623388034663,272.6444497625842,258.3987790143347,251.67455579317436,428.82322483156486,1.7585059516982897
SDMT_92546.csv,18.0,18.5,18.25,457.0,16.275059554148662,0.11204872475916114,281.51400163666347,342.712697644633,704.0270841171504,262.74099782612495,252.7449023936555,246.58807376414003,428.56222023280765,1.8679592742006301
SDMT_92546.csv,18.5,19.0,18.75,367.0,12.747791632561762,0.10078785473681826,274.9171451591347,334.68174193286,643.0042563588795,247.6709999690405,241.6202330038041,237.76170863919035,424.83452332663194,2.0157712882866705
SDMT_92546.csv,19.0,19.5,19.25,340.0,15.219973098586978,0.0935350664948108,277.27737549600437,337.5550658212223,689.8453312230207,253.58809702298407,234.5831694628076,244.1817987311298,424.0974305847467,1.8776596851758829
