File Name,File Key,d,End Depth,Measured Vs,Subset_Region,Subset_Geology,Qc (Geometric Mean),Fs (Geometric Mean),andrus_2007_holocene Vs (Geometric Mean),andrus_2007_pleistocene Vs (Geometric Mean),andrus_2007_tertiary_age_cooper_marl Vs (Geometric Mean),robertson_2009 Vs (Geometric Mean),hegazy_2006 Vs (Geometric Mean),mcgann_2015 Vs (Geometric Mean),mcgann_2018 Vs (Geometric Mean),Ic (Geometric Mean)
SCPT,165739,25,26,213.3,8,1,2.963704074,0.047366278,216.5928082,263.6782013,390.3177947,175.9455868,189.4060906,197.1572459,411.8019628,2.713485468
SCPT,165739,26,26.53,235.8,8,1,2.3579,0.0835,219.5021441,267.2200015,358.2883558,184.228224,243.1376112,201.0592445,444.7581777,3.032773748
SDMT,141748,0,1,112,8,1,1.106965525,0.048804054,88.96826345,108.3091903,171.3329538,94.07503237,137.1442243,53.12407075,141.2458265,2.875307244
SDMT,141748,1,1.5,112,8,1,0.140445221,0.008050121,57.80673652,70.37341837,85.78702403,71.81592832,96.2599253,47.30166913,148.7086603,3.81697838
SDMT,141748,1.5,2,85,8,1,0.09693622,0.005174829,55.11543698,67.09705372,77.20599477,66.74518933,88.50219092,47.52574174,152.6379141,4.0494805
SDMT,141748,2,2.5,150,8,1,0.06125618,0.003871178,53.70686141,65.38226606,68.2236985,58.81233834,85.01108194,46.59573595,156.1831458,4.50157896
SDMT,141748,2.5,3,54,8,1,0.053238754,0.00349669,56.98185509,69.36921489,70.22975989,57.20825789,84.45552219,47.89230027,162.0347892,4.625981247
SDMT,141748,3,3.5,36,8,1,0.061773602,0.003873841,61.07785742,74.35565252,77.67179933,61.66129665,87.30739441,51.70199449,171.5136149,4.435444395
SDMT,141748,3.5,4,39,8,1,0.067427275,0.003140159,63.91558109,77.81027263,82.05038568,61.00519764,81.41869402,53.54845987,173.1802946,4.365965756
SDMT,141748,4,4.5,62,8,1,0.116110311,0.002718187,68.89286408,83.86957366,100.1481118,68.46725873,74.01063505,59.24948232,176.1512004,3.770101302
SDMT,141748,4.5,5,116,8,1,0.339121929,0.003559985,83.68702209,101.879853,145.4190026,85.35056989,78.48746259,72.92846218,189.1514006,3.049218507
SDMT,141748,5,5.5,139,8,1,0.390671309,0.004488773,88.1703407,107.3378061,154.0979082,90.69929788,85.53753599,78.02051203,200.1565242,3.016218575
SDMT,141748,5.5,6,142,8,1,2.694273973,0.023762497,137.3794172,167.2445079,316.3796063,148.7038383,145.9786758,121.3514574,258.0338539,2.165175474
SDMT,141748,6,6.5,170,8,1,2.723089959,0.024355399,139.9400684,170.3618224,320.6198869,150.4650437,147.5239705,124.6464528,264.4094386,2.172059259
SDMT,141748,6.5,7,174,8,1,11.68618003,0.081035706,195.3332037,237.7969436,562.3600057,212.7102036,217.9590455,173.54502,318.6366619,1.652765301
SDMT,141748,7,7.5,204,8,1,14.08712121,0.105921036,209.4062947,254.9294022,608.2447831,229.5999295,245.4770075,185.9466956,336.4159955,1.629226042
SDMT,141748,7.5,8,192,8,1,9.340123765,0.077628262,196.3355053,239.0171369,523.4346892,211.1842933,222.4634424,173.9991961,327.6018068,1.796983531
SDMT,141748,8,8.5,188,8,1,6.982864827,0.05164323,183.667297,223.5949703,471.4059302,192.3987442,189.0905023,164.1425909,314.9754819,1.877970247
SDMT,141748,8.5,9,200,8,1,6.69237645,0.051563603,185.2761031,225.5535168,466.5725937,192.6818681,190.4748762,165.8130359,319.5390518,1.915622065
SDMT,141748,9,9.5,186,8,1,6.4103639,0.050049592,186.0572334,226.5044581,461.548361,192.0136124,189.6690124,166.9423742,322.7110371,1.94568077
SDMT,141748,9.5,10,200,8,1,6.019355964,0.046052212,185.3947868,225.6980014,452.9386781,188.8684675,183.7360715,166.7212392,323.370759,1.977436058
SDMT,141748,10,10.5,184,8,1,8.788612893,0.066236909,203.8458786,248.1602,525.8946753,209.599763,209.0889237,183.9941445,344.2995042,1.850245109
SDMT,141748,10.5,11,213,8,1,10.07976623,0.075347,212.3073094,258.4610723,556.7535942,218.3809916,219.5106311,192.2098584,354.7228601,1.811456064
SDMT,141748,11,11.5,204,8,1,11.29152816,0.093919333,223.3228319,271.8712737,584.0262665,230.6612984,241.7260707,201.5160614,369.5659661,1.811751855
SDMT,141748,11.5,12,208,8,1,10.96471064,0.08472186,222.0117271,270.275146,580.0265713,226.7721719,230.8584215,201.3775564,368.6036801,1.812301291
SDMT,141748,12,12.5,194,8,1,4.196814582,0.067784668,192.8756623,234.8051541,406.4007396,195.6261655,228.0657563,174.1591683,359.3042845,2.322590002
SDMT,141748,12.5,13,170,8,1,1.008060622,0.025285326,144.5653797,175.9926362,240.5316699,139.6206019,164.4594676,132.1401287,315.938392,3.06567485
SDMT,141748,13,13.5,166,8,1,1.042248854,0.029136247,148.3543831,180.605336,244.67815,143.000166,173.2558453,135.7928731,325.0436887,3.090535742
