Depth,Qc,Fs,u,andrus_2007_holocene Vs,andrus_2007_pleistocene Vs,andrus_2007_tertiary_age_cooper_marl Vs,robertson_2009 Vs,hegazy_2006 Vs,mcgann_2015 Vs,mcgann_2018 Vs,Ic,Measure Vs
17.06,11.3331,0.0859,0.1372,246.86559766331385,300.53203193794724,610.2557548629401,235.6642451883788,232.46753954684385,224.72720008399668,405.94924780932575,1.9050195162324224,200.0
17.08,11.4083,0.0882,0.1428,247.9132587111513,301.80744538748854,611.9105474280192,236.84465076283095,235.09160462646057,225.5086249254803,407.486792179253,1.907965808877276,200.0
17.1,11.6284,0.0919,0.1442,249.68746978352172,303.96735451907,616.4536200811784,238.99511036892704,239.1670565999594,226.97645237373965,409.84876950962007,1.9068302966450776,200.0
17.12,11.9196,0.0957,0.1463,251.5772563762061,306.267964284077,622.3650750506972,241.3555985625621,243.2192852857677,228.62790741694155,412.2105427242188,1.9019154057988128,200.0
17.14,12.1668,0.0916,0.1488,250.5968798821091,305.0744624651763,627.3324888833633,240.51087957993383,238.3102640347076,228.5470141168976,410.05414753132777,1.8767450944655304,200.0
17.16,12.3315,0.086,0.1482,248.83876740119223,302.93415161884275,630.6144623317025,238.75415537473805,231.68556034354177,227.86797344217132,406.8655739436069,1.8512763542309048,200.0
17.18,12.3044,0.0805,0.1501,246.7319022636516,300.3692723209672,630.1755660243674,236.4001028331712,225.21806241463463,226.62302011960236,403.49720103771614,1.8354942559851184,200.0
17.2,12.0798,0.0849,0.1479,248.203499300622,302.160781757279,625.8329363228531,237.6060609984969,230.6075828877228,227.09662116757733,406.3625662572632,1.8619920419117155,200.0
17.22,11.7759,0.0889,0.1478,249.30050816139095,303.4962708051716,619.8728596639772,238.34316621700685,235.54036952825493,227.20455599348784,408.8450339643396,1.8913756134819224,200.0
17.24,11.3592,0.0909,0.1446,249.38713272889572,303.60172680039483,611.4880933341044,237.87410826511388,238.2427783210266,226.5197426028661,410.0403171030586,1.921486313458596,200.0
17.26,10.8928,0.0903,0.1401,248.38633543221223,302.3833648739975,601.8544276111198,236.1735044667752,238.0028739597006,225.1051020972958,409.6805215283586,1.9477349218261355,200.0
17.28,10.4263,0.0882,0.1355,246.97428272331635,300.66434418490684,591.9554174895832,233.525601796658,235.61359766452804,223.32617415898747,408.4166143481589,1.972283043650042,200.0
17.3,10.0477,0.084,0.1371,244.758998488591,297.96747642089343,583.7775904525785,230.5702232626749,231.0092034952002,221.31325180239745,405.8420284464218,1.9838857857671,200.0
17.32,9.8624,0.0791,0.1376,242.63220990032457,295.3783424873517,579.7359909276837,227.92157832926773,225.26771955290755,219.69303074334653,402.7455821354003,1.98047652932228,200.0
17.34,9.876,0.0736,0.1409,240.6162613837324,292.9241442932394,580.1366619604973,225.6332339293631,218.46477745108072,218.49625881346043,399.11053516651,1.960850583852277,200.0
17.36,10.1042,0.0697,0.1417,239.38025053126327,291.419435429364,585.2653394932751,224.9669026802002,213.70611087899195,218.2977424728464,396.4782887639031,1.9303950056283343,200.0
17.38,10.3824,0.0708,0.1446,240.4393804409184,292.70881097155285,591.427661483062,226.40759611176225,214.868478370593,219.5084772513625,397.481824523488,1.916810232656864,200.0
17.4,10.4103,0.0682,0.1513,239.47246122422504,291.53169192514355,592.1589398050969,225.3348353870187,211.5451435845844,218.9824570677653,395.6761852302367,1.9056358868133336,200.0
17.42,10.0629,0.0655,0.128,237.71558377287425,289.3928845930643,584.4284002001559,222.90251637940136,208.34713520026804,217.254795456304,393.61936635899815,1.9186342894097173,200.0
17.44,9.8536,0.0621,0.1306,235.88291042834288,287.16180399972177,579.8700433426699,220.58297329658552,204.0509609517025,215.71086339702725,390.9538780868072,1.919333965228424,200.0
17.46,9.6864,0.0621,0.1295,235.62058594759745,286.8424524579447,576.1674359017182,220.01790184618952,204.17535158742925,215.24848820007736,391.0177368408896,1.9309146463082705,200.0
17.48,9.3497,0.0642,0.1363,236.10664937506925,287.4341818479104,568.6071787050474,219.56506189873463,206.8500847185032,214.8150044339692,392.7228702837468,1.964430021836524,200.0
17.5,9.1608,0.0662,0.1374,236.6064861461213,288.04267878658254,564.292765475808,219.81640220898777,209.60363889412625,214.79888542226635,394.34671511203913,1.986013974127008,192.0
17.52,8.9982,0.0679,0.1392,237.00040259321025,288.52222924390816,560.5509618505936,219.99857997113477,211.93492582089308,214.7651981419073,395.71061968178986,2.004650557774458,192.0
17.54,8.8739,0.0648,0.1434,235.49121469215729,286.68495701653933,557.7045795662689,218.11812049022012,207.9967370446093,213.57345169331484,393.387032376778,2.002126773552993,192.0
17.56,8.7743,0.064,0.1446,234.98282189946423,286.0660440515217,555.3960457786693,217.3740507216009,207.0196886548232,213.07434990264343,392.832694426248,2.006749407104505,192.0
17.58,8.7059,0.063,0.1469,234.4615841441993,285.4314937407643,553.8352842890855,216.6518109724273,205.7460771948432,212.62361798022712,392.11948387163534,2.008212360757457,192.0
17.6,8.6752,0.062,0.1491,234.02800066700135,284.90365298591473,553.1782884789325,216.06982220263876,204.4344683210173,212.30054169954545,391.40705395862426,2.006785505854735,192.0
17.62,8.6891,0.0616,0.1503,233.9593137738249,284.82003415943905,553.5886951281096,215.9424129721816,203.884664522276,212.3024636761524,391.1948738272828,2.004399513791009,192.0
17.64,8.7685,0.0613,0.1516,234.09168323839685,284.9811795945701,555.5773138712971,216.11452008904664,203.41834019683927,212.56163989741376,391.0852218178521,1.99745169410986,192.0
17.66,8.8869,0.0613,0.1537,234.44398288578503,285.41006612182525,558.49434584911,216.5779736914412,203.3252538079457,213.03967898246023,391.2361857097207,1.9888505455482468,192.0
17.68,9.0382,0.0623,0.1547,235.30259536359824,286.4553334861196,562.1545919283205,217.63723633631216,204.5388965441262,213.91251793073656,392.2213406717723,1.9820505224554583,192.0
17.7,9.2525,0.0637,0.1559,236.46381309216272,287.86898985132854,567.2488024778343,219.10685398607163,206.22208832247043,215.0994368887056,393.5368773968669,1.9724467440162767,192.0
